id_cliente,ano_nascimento,nivel_educacao,estado_civil,salario_anual_dolar,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha,recencia,frequencia,valor_monetario
1966,1965,Pós-graduação,Casado,84618,0,0,2021-11-22,0,1040,16,1672
6864,1989,Pós-graduação,Divorciado,10979,0,0,2022-05-22,0,1075,6,30
3033,1963,Pós-graduação,União estável,38620,0,0,2021-05-11,0,1456,5,318
5710,1970,Ensino Superior,União estável,40548,0,1,2020-10-10,0,1427,6,120
7373,1952,Pós-graduação,Divorciado,46610,0,2,2020-10-29,1,1342,10,302
8755,1946,Pós-graduação,Casado,68657,0,0,2021-02-20,0,1225,12,1196
10738,1951,Pós-graduação,Solteiro,49389,1,1,2021-08-29,0,1330,5,65
4339,1970,Pós-graduação,Casado,67353,0,1,2021-12-31,0,1039,17,913
10755,1976,Ensino Médio,Casado,23718,1,0,2021-09-02,0,1299,5,81
8595,1973,Ensino Superior,Viúva/Viúvo,42429,0,1,2022-02-11,0,1109,4,67
2968,1943,Pós-graduação,Divorciado,48948,0,0,2021-02-01,1,1103,12,902
8601,1980,Ensino Superior,Casado,80011,0,1,2021-04-29,0,1097,13,1395
503,1985,Pós-graduação,Casado,20559,1,0,2021-03-12,0,1391,5,53
8430,1957,Ensino Superior,União estável,21994,0,1,2020-12-24,0,1198,3,22
7281,1959,Pós-graduação,Solteiro,,0,0,2021-11-05,0,1031,5,186
2139,1975,Pós-graduação,Casado,7500,1,0,2021-10-02,0,1146,5,31
1371,1976,Ensino Superior,Solteiro,79941,0,0,2022-06-28,0,1040,11,984
9909,1996,Ensino Médio,Casado,7500,0,0,2020-11-09,1,1204,6,122
7286,1968,Ensino Superior,União estável,41728,1,0,2021-05-24,0,1353,4,55
7244,1951,Ensino Superior,Solteiro,,2,1,2022-01-01,0,1069,6,124
6566,1954,Pós-graduação,Casado,72550,1,1,2020-11-08,0,1228,17,1319
8614,1957,Ensino Superior,Viúva/Viúvo,65486,0,1,2022-05-12,0,1031,14,507
4114,1964,Pós-graduação,Casado,79143,0,0,2020-08-11,0,1088,19,1693
1331,1977,Ensino Superior,Solteiro,35790,1,0,2021-01-02,0,1051,5,72
2225,1977,Ensino Superior,Divorciado,82582,0,0,2022-06-07,1,1019,11,1617
9381,1978,Ensino Superior,Casado,66373,1,1,2021-06-12,0,1237,14,606
6260,1955,Pós-graduação,União estável,82384,0,0,2020-11-19,1,1257,16,1957
10383,1966,Ensino Superior,Divorciado,70287,0,0,2021-04-02,1,1154,15,1093
7437,1988,Ensino Superior,Solteiro,27938,1,0,2022-04-28,0,1098,5,29
8557,1982,Ensino Superior,Solteiro,,1,0,2021-06-17,0,1059,5,46
8375,1968,Pós-graduação,Casado,55954,0,1,2022-03-03,0,1124,14,518
6853,1982,Pós-graduação,Solteiro,75777,0,0,2021-07-04,1,1145,14,1438
3076,1975,Ensino Superior,União estável,66653,1,1,2020-09-07,0,1181,16,612
1012,1952,Ensino Superior,Solteiro,61823,0,1,2021-02-18,0,1301,18,884
6518,1951,Pós-graduação,Viúva/Viúvo,67680,0,1,2021-06-11,0,1135,15,606
4137,1948,Ensino Superior,União estável,70666,0,0,2021-12-06,0,1033,11,1076
8082,1971,Ensino Superior,Casado,25721,1,0,2021-05-21,1,1551,3,34
1386,1967,Ensino Superior,União estável,32474,1,1,2022-05-11,0,1239,3,11
9369,1979,Ensino Médio,Solteiro,88194,0,1,2022-03-19,1,1023,21,1274
4477,1958,Ensino Superior,União estável,69096,0,1,2021-09-27,0,1125,15,653
1357,1970,Ensino Superior,União estável,74854,1,2,2021-04-08,0,1363,7,1562
1402,1954,Pós-graduação,Casado,66991,0,0,2020-09-11,0,1187,10,1253
10629,1973,Ensino Médio,Casado,,1,0,2020-09-14,0,1470,6,109
6312,1959,Ensino Superior,Casado,65031,0,1,2021-03-17,0,1076,23,863
8132,1975,Pós-graduação,Casado,60631,1,1,2021-04-05,0,1159,17,661
1050,1952,Ensino Superior,Casado,28332,0,0,2022-04-30,0,1065,6,65
5846,1977,Ensino Superior,Divorciado,40246,1,0,2020-12-19,0,1715,3,13
1859,1972,Pós-graduação,Casado,75251,0,0,2020-08-27,1,1106,12,1890
7503,1976,Ensino Superior,Solteiro,75825,0,0,2020-10-12,1,1215,14,2209
10401,1976,Ensino Médio,União estável,26326,0,0,2021-09-04,0,1278,3,18
1618,1965,Ensino Superior,União estável,56046,0,0,2021-01-02,1,1165,18,692
3332,1985,Ensino Superior,Solteiro,29760,1,0,2020-08-29,0,1208,7,165
2261,1969,Ensino Superior,Casado,26304,1,0,2021-06-23,0,1546,3,16
5346,1973,Ensino Médio,Casado,23559,1,0,2021-07-03,0,1156,6,79
4119,1963,Pós-graduação,União estável,38620,0,0,2021-05-11,0,1303,5,318
535,1987,Ensino Superior,Divorciado,81361,0,0,2022-02-25,0,1073,16,778
5268,1960,Ensino Superior,Casado,29440,1,1,2021-08-11,0,1166,5,56
273,1970,Pós-graduação,Casado,36138,1,1,2021-07-16,0,1155,7,151
4452,1957,Ensino Superior,Solteiro,50388,0,1,2022-05-28,1,1088,12,372
8504,1973,Ensino Superior,Casado,79593,0,0,2022-05-12,0,1097,12,1366
771,1967,Ensino Superior,União estável,54178,0,1,2022-01-21,0,1025,7,194
8996,1957,Pós-graduação,Casado,,2,1,2020-11-19,0,1186,15,603
9235,1957,Ensino Superior,Solteiro,,1,1,2022-05-27,0,1117,3,18
5798,1973,Pós-graduação,União estável,,0,0,2021-11-23,0,1060,10,985
11178,1972,Pós-graduação,Solteiro,42394,1,0,2022-03-23,0,1168,4,32
2230,1970,Pós-graduação,Casado,23626,1,0,2022-05-24,0,1054,6,43
7516,1983,Ensino Superior,Casado,30096,1,0,2022-05-22,0,1132,5,45
7247,1960,Ensino Superior,Viúva/Viúvo,47916,0,1,2020-11-22,0,1232,13,606
11100,1972,Ensino Superior,Divorciado,51813,1,1,2021-04-11,0,1225,5,63
4646,1951,Ensino Médio,Casado,78497,0,0,2021-12-01,0,1076,17,978
3037,1983,Pós-graduação,Casado,50150,0,0,2021-06-20,0,1302,12,410
1473,1960,Ensino Médio,Solteiro,47823,0,1,2021-07-23,0,1199,5,72
1016,1959,Pós-graduação,Solteiro,34554,0,1,2022-03-30,0,1078,5,55
4518,1979,Ensino Superior,União estável,85693,0,1,2021-04-20,0,1210,20,1169
9370,1945,Pós-graduação,Casado,65846,0,0,2021-05-17,0,1095,12,1120
8908,1959,Ensino Superior,Casado,87195,0,0,2022-05-08,1,1068,8,1097
8373,1979,Ensino Médio,União estável,24594,1,0,2021-12-10,0,1020,4,29
7533,1964,Ensino Superior,Casado,49096,1,1,2021-09-24,0,1129,8,187
2683,1969,Ensino Superior,Casado,52413,0,2,2021-02-02,0,1233,18,910
3629,1978,Ensino Superior,Solteiro,38557,1,0,2020-12-19,0,1376,6,145
10991,1960,Pós-graduação,Casado,89058,0,0,2020-12-07,0,1253,9,850
5077,1979,Ensino Superior,União estável,77298,0,1,2021-11-02,0,1044,17,969
7431,1991,Pós-graduação,Solteiro,68126,0,0,2020-11-10,1,1252,12,1820
3267,1963,Pós-graduação,União estável,57288,0,1,2022-06-25,0,1021,16,608
999,1991,Ensino Superior,Solteiro,86037,0,0,2021-01-02,1,1141,17,730
9215,1980,Pós-graduação,Casado,43974,1,0,2020-12-12,0,1139,12,551
2286,1962,Ensino Superior,Solteiro,50785,1,1,2021-09-10,0,1090,5,114
1592,1970,Ensino Superior,Casado,90765,0,0,2022-01-24,0,1049,9,1724
367,1978,Ensino Médio,Casado,36550,1,0,2021-02-19,0,1057,14,577
5234,1967,Ensino Médio,União estável,30753,1,1,2021-07-11,0,1188,4,81
9862,1969,Ensino Superior,União estável,21918,1,0,2021-11-14,0,1162,5,33
9805,1953,Pós-graduação,União estável,56129,0,1,2021-06-20,0,1129,16,660
6205,1967,Pós-graduação,Solteiro,32557,1,0,2022-02-24,1,1091,5,80
8442,1985,Pós-graduação,Casado,19510,2,0,2021-09-04,0,1105,4,30
7386,1976,Ensino Superior,Divorciado,30992,1,0,2021-04-22,0,1151,4,43
7215,1983,Ensino Superior,Solteiro,101970,0,0,2021-03-12,1,1236,19,1135
1491,1965,Ensino Médio,União estável,71488,0,0,2021-02-18,0,1131,10,559
11071,1984,Ensino Superior,Solteiro,79607,0,0,2021-04-21,1,1388,9,1923
3381,1953,Pós-graduação,Casado,54348,1,1,2022-06-08,0,1123,6,90
8268,1961,Pós-graduação,Casado,,0,1,2021-07-11,0,1247,13,404
11051,1956,Pós-graduação,União estável,77376,1,1,2022-05-10,0,1043,16,661
8026,1952,Ensino Superior,Casado,62998,0,1,2021-09-30,0,1114,10,463
433,1958,Pós-graduação,Solteiro,61331,1,1,2021-03-10,0,1395,17,632
9597,1969,Ensino Superior,Casado,73448,0,0,2022-02-10,0,1043,16,725
1295,1963,Ensino Superior,Casado,,0,1,2021-08-11,0,1237,13,725
5290,1964,Pós-graduação,Casado,41551,1,1,2021-08-14,0,1163,10,279
1685,1967,Pós-graduação,União estável,62981,0,0,2021-03-17,0,1089,17,1482
5342,1976,Ensino Médio,Divorciado,9548,1,0,2020-08-08,0,1579,4,29
9579,1959,Pós-graduação,Casado,33762,2,1,2021-07-07,0,1496,4,106
7660,1973,Pós-graduação,Solteiro,35860,1,1,2022-05-19,1,1082,3,49
1461,1965,Pós-graduação,Divorciado,36921,1,1,2021-07-28,0,1305,5,38
821,1992,Pós-graduação,Solteiro,92859,0,0,2020-10-19,0,1351,17,2077
11084,1976,Pós-graduação,União estável,65104,0,1,2021-11-14,1,1026,10,1053
8690,1962,Ensino Superior,Casado,86111,0,0,2021-04-19,0,1084,15,1385
2937,1974,Pós-graduação,Solteiro,68352,0,1,2021-08-28,0,1076,17,871
9701,1988,Ensino Superior,União estável,41883,1,0,2021-03-19,0,1295,7,312
9949,1976,Ensino Superior,Casado,59809,0,2,2020-10-18,0,1122,9,877
10837,1975,Ensino Superior,Casado,23957,1,0,2020-10-28,1,1251,5,68
3120,1981,Ensino Superior,União estável,38547,1,0,2021-08-28,0,1430,3,22
5885,1973,Ensino Médio,Casado,35688,2,1,2020-08-22,0,1413,8,211
4050,1966,Pós-graduação,Casado,49605,0,0,2022-06-21,0,1027,6,127
3830,1953,Pós-graduação,Casado,59354,0,2,2022-04-24,0,1027,11,459
7987,1969,Ensino Superior,Casado,65747,0,1,2022-03-07,0,1019,14,460
7798,1972,Ensino Médio,União estável,46344,0,1,2020-12-14,0,1150,12,429
92,1988,Ensino Superior,Solteiro,34176,1,0,2022-05-12,0,1044,7,89
7055,1952,Pós-graduação,União estável,61010,0,1,2020-10-09,0,1214,19,1021
10240,1949,Ensino Superior,União estável,69372,0,0,2021-02-19,1,1072,16,1381
3025,1958,Ensino Superior,Solteiro,49967,0,1,2021-07-08,0,1315,11,306
9283,1978,Ensino Superior,Solteiro,60199,1,2,2021-09-12,0,1309,3,18
9970,1977,Ensino Superior,União estável,55375,0,1,2021-10-17,0,1053,7,162
2730,1955,Ensino Superior,Solteiro,80317,0,0,2021-08-20,0,1218,13,1231
2795,1958,Pós-graduação,Solteiro,30523,2,1,2021-07-01,0,1316,3,13
9260,1945,Pós-graduação,Casado,70356,0,0,2020-11-05,0,1079,19,1706
8182,1984,Ensino Superior,Casado,23228,1,0,2022-01-05,0,1072,7,121
10095,1975,Pós-graduação,Divorciado,74165,0,0,2021-05-01,0,1095,15,1293
8475,1973,Pós-graduação,Casado,157243,0,1,2022-03-01,0,,,
4370,1966,Ensino Superior,União estável,43482,2,1,2021-11-13,0,1147,6,88
10573,1953,Ensino Superior,Divorciado,62551,0,0,2021-11-18,0,1042,10,421
3712,1959,Ensino Superior,Divorciado,52332,0,0,2021-08-28,0,1324,9,259
6637,1988,Ensino Superior,Solteiro,66951,0,0,2021-11-02,0,1026,10,1117
3152,1957,Ensino Superior,União estável,26091,1,1,2022-02-25,0,1052,5,89
5610,1965,Ensino Superior,União estável,33456,1,1,2022-04-21,0,1073,4,36
6460,1982,Ensino Superior,Casado,28718,1,0,2021-07-13,0,1283,5,57
1349,1970,Ensino Superior,Casado,50447,2,0,2022-04-21,0,1059,6,148
1880,1959,Pós-graduação,União estável,53537,1,1,2022-01-30,0,1055,5,93
641,1967,Ensino Superior,Solteiro,52074,0,1,2022-04-04,0,1092,4,119
8717,1975,Pós-graduação,Casado,80427,0,1,2020-09-12,0,1121,19,1835
10314,1948,Pós-graduação,Casado,83837,0,0,2020-12-16,1,1164,14,1318
10854,1970,Pós-graduação,Casado,38853,1,1,2022-05-23,0,1040,5,45
10492,1959,Ensino Superior,União estável,38285,2,1,2022-06-24,0,1079,3,10
6935,1951,Ensino Médio,Casado,78497,0,0,2021-12-01,0,1038,17,978
7698,1976,Pós-graduação,Casado,51650,0,1,2022-05-11,0,1048,8,191
3559,1988,Ensino Médio,Casado,16248,1,0,2022-05-10,0,1147,5,57
10562,1946,Pós-graduação,Casado,66835,0,0,2021-09-28,0,1066,19,1033
10796,1984,Pós-graduação,Casado,30477,1,0,2022-01-22,0,1073,4,66
2563,1961,Ensino Médio,Casado,28249,0,0,2022-06-15,0,1171,5,43
3518,1983,Ensino Superior,Casado,25271,1,0,2020-12-05,0,1632,3,50
5823,1970,Pós-graduação,Solteiro,32303,0,1,2022-03-08,0,1263,5,39
3934,1966,Ensino Superior,Casado,61286,0,1,2021-08-02,0,1122,15,608
6982,1976,Ensino Superior,Casado,74068,0,0,2021-03-19,0,1153,13,1581
6431,1964,Pós-graduação,Casado,45759,1,1,2021-02-23,0,1406,5,68
9733,1978,Ensino Médio,União estável,24882,1,0,2020-09-09,0,1780,3,80
5602,1989,Pós-graduação,União estável,66973,0,0,2021-05-17,0,1115,20,1282
7829,1900,Ensino Médio,Divorciado,36640,1,0,2021-09-26,0,1278,4,65
1324,1988,Ensino Superior,Casado,38872,1,0,2021-05-30,0,1171,6,91
326,1973,Ensino Superior,Casado,51148,1,1,2021-02-18,0,1239,11,315
7224,1977,Ensino Superior,Casado,31353,1,1,2021-12-29,0,1352,3,31
6999,1980,Pós-graduação,Casado,69661,0,0,2022-05-13,0,1019,19,834
9938,1954,Ensino Superior,Casado,80067,0,0,2021-09-19,0,1214,10,1600
6422,1954,Ensino Superior,Casado,86718,0,0,2021-01-17,0,1190,10,1270
3182,1973,Pós-graduação,Solteiro,46854,1,1,2022-03-31,1,1048,8,263
7300,1952,Ensino Superior,Divorciado,69142,0,1,2022-06-29,0,1058,15,535
10424,1968,Ensino Superior,Solteiro,75922,0,0,2021-12-09,0,1035,13,1295
8727,1978,Ensino Superior,Divorciado,63693,0,1,2021-10-14,0,1099,20,1150
2798,1977,Pós-graduação,União estável,102160,0,0,2020-11-02,1,1170,17,1240
1030,1965,Pós-graduação,Solteiro,40637,1,1,2021-07-17,0,1485,4,38
624,1984,Pós-graduação,Solteiro,18890,0,0,2020-11-10,1,1623,2,35
5176,1988,Ensino Superior,União estável,29604,1,0,2021-12-08,0,1115,4,53
5552,1963,Pós-graduação,Divorciado,48721,1,1,2021-05-13,0,1129,9,293
868,1966,Ensino Superior,Casado,44794,0,1,2022-06-08,0,1078,5,65
380,1954,Ensino Superior,Divorciado,64497,0,1,2020-09-10,1,1174,20,1804
2677,1956,Ensino Superior,União estável,46097,0,1,2021-03-31,0,1108,9,241
6521,1954,Ensino Superior,União estável,77972,0,0,2022-03-18,0,1053,13,1101
6927,1968,Pós-graduação,Casado,44377,1,1,2020-10-05,0,1374,10,264
2877,1974,Pós-graduação,União estável,46014,1,1,2021-01-21,0,1115,15,541
0,1985,Ensino Superior,Casado,70951,0,0,2021-05-04,0,,,
1584,1977,Ensino Superior,Casado,41443,1,0,2022-04-01,0,1060,13,482
7264,1978,Ensino Médio,Solteiro,52195,2,1,2022-05-12,0,1199,3,17
6274,1948,Pós-graduação,Casado,83790,0,0,2021-11-15,0,1055,14,1615
1377,1954,Pós-graduação,Viúva/Viúvo,44551,0,1,2021-08-31,0,1048,9,285
454,1980,Ensino Superior,União estável,69508,1,0,2020-11-14,0,1114,22,1135
1755,1988,Ensino Médio,União estável,45204,1,0,2022-04-11,0,1128,5,114
2075,1969,Ensino Superior,Casado,72460,0,0,2021-11-14,0,1129,10,1047
4785,1970,Pós-graduação,União estável,77622,0,2,2022-04-14,0,1045,17,714
9076,1980,Pós-graduação,Casado,30732,1,0,2021-01-05,0,1283,8,185
7079,1962,Ensino Superior,Divorciado,63887,0,1,2020-09-08,0,1174,21,1245
4653,1978,Ensino Superior,União estável,42011,1,0,2021-03-26,0,1101,7,189
7375,1976,Ensino Superior,União estável,51369,0,1,2020-10-25,0,1279,12,576
709,1952,Ensino Superior,Divorciado,51537,0,1,2020-12-09,0,1200,13,1103
460,1972,Pós-graduação,Casado,79930,0,0,2020-08-08,0,1384,11,1753
3726,1986,Pós-graduação,União estável,34320,1,0,2022-02-16,0,1021,3,17
6798,1966,Ensino Superior,Solteiro,37070,1,1,2021-03-20,1,1121,13,433
5341,1962,Ensino Médio,Divorciado,81975,0,1,2021-01-05,0,1250,10,1588
1606,1971,Ensino Superior,União estável,38590,1,0,2021-05-15,0,1594,3,22
9617,1951,Ensino Superior,Solteiro,15033,0,0,2022-04-16,0,1042,4,19
3233,1965,Pós-graduação,Casado,62745,0,1,2021-03-23,0,1251,18,1117
89,1975,Ensino Médio,Casado,22212,1,0,2021-12-09,0,1186,6,69
2936,1982,Pós-graduação,União estável,23661,1,0,2021-12-04,0,1042,4,23
9449,1958,Pós-graduação,Solteiro,79761,0,1,2021-10-04,0,1195,16,605
7297,1973,Ensino Superior,Solteiro,7500,1,0,2021-12-26,0,1242,6,57
11004,1893,Ensino Médio,Solteiro,60182,0,1,2022-05-17,0,1191,3,22
313,1968,Ensino Superior,Viúva/Viúvo,73455,0,0,2021-10-28,0,1105,16,2088
9940,1958,Ensino Superior,União estável,64961,0,1,2020-12-23,0,1148,10,1009
10735,1971,Ensino Superior,Solteiro,22804,1,0,2021-07-31,0,1481,4,26
9529,1990,Ensino Superior,Casado,73687,0,0,2021-11-28,1,1047,12,1627
6439,1958,Ensino Superior,Casado,61074,0,1,2020-08-17,0,1306,19,1102
7411,1964,Pós-graduação,Casado,31686,1,1,2022-06-05,0,1069,4,17
2176,1972,Ensino Superior,Casado,80134,1,0,2021-05-20,1,1166,11,1690
9265,1953,Ensino Superior,Casado,75027,0,1,2021-01-09,0,1151,15,1390
8867,1988,Pós-graduação,Casado,67546,0,0,2020-08-31,0,1290,9,2126
8932,1969,Pós-graduação,União estável,65176,0,1,2020-10-29,0,1293,15,1531
10236,1975,Pós-graduação,Solteiro,31160,1,0,2021-09-16,0,1113,5,64
6340,1985,Ensino Superior,Solteiro,29938,1,0,2021-10-27,0,1352,4,26
10089,1974,Ensino Superior,Divorciado,102692,0,0,2021-04-05,1,1086,19,1112
2227,1958,Ensino Médio,União estável,26490,0,0,2020-09-22,0,1291,8,210
10992,1967,Ensino Superior,União estável,75702,1,1,2020-08-29,0,1137,15,1148
5304,1974,Pós-graduação,Solteiro,30899,1,0,2020-10-13,0,1533,4,33
309,1961,Pós-graduação,União estável,63342,0,1,2020-10-16,0,1146,13,1101
3406,1964,Ensino Superior,Solteiro,45989,0,1,2020-10-22,0,1272,10,322
2661,1964,Ensino Superior,Solteiro,18701,1,1,2021-06-04,0,1054,6,44
3153,1957,Pós-graduação,Solteiro,40737,2,1,2021-12-08,0,1290,3,17
10264,1979,Ensino Superior,Divorciado,15287,1,0,2020-10-10,1,1752,3,31
1184,1968,Pós-graduação,Divorciado,69674,0,2,2021-05-22,0,1121,20,845
4200,1970,Pós-graduação,Casado,44159,1,0,2022-06-17,0,1022,10,275
9396,1978,Pós-graduação,Casado,37717,1,0,2020-11-23,0,1462,3,25
2387,1952,Pós-graduação,União estável,43776,1,1,2021-02-03,1,1126,9,275
6690,1966,Pós-graduação,Casado,38179,1,1,2021-03-14,0,1322,6,90
1225,1963,Ensino Superior,Casado,80124,0,0,2022-06-26,0,1029,11,1495
9703,1970,Pós-graduação,Casado,38097,1,1,2020-10-15,1,1452,5,184
291,1970,Ensino Superior,Casado,72940,0,0,2021-06-19,0,1079,9,981
4557,1970,Ensino Superior,União estável,22070,1,0,2021-10-04,0,1076,4,67
2379,1953,Ensino Superior,Solteiro,69267,0,0,2020-09-22,1,1343,8,1635
5726,1983,Pós-graduação,Solteiro,31788,1,0,2022-03-20,0,1055,7,60
3066,1975,Pós-graduação,União estável,61905,0,1,2022-02-04,0,1024,8,231
6336,1960,Ensino Superior,Casado,29315,1,1,2022-04-06,0,1123,6,48
10967,1963,Ensino Superior,Divorciado,33378,1,1,2021-02-06,0,1177,6,99
2304,1963,Pós-graduação,União estável,66313,0,1,2021-09-16,0,1190,18,770
3445,1956,Ensino Superior,Solteiro,60714,0,0,2021-01-17,1,1103,17,957
7828,1981,Pós-graduação,União estável,77882,0,0,2022-04-30,0,1031,8,818
3762,1986,Pós-graduação,Solteiro,69867,0,0,2021-04-02,1,1114,11,925
4391,1968,Pós-graduação,Divorciado,63841,0,1,2021-04-21,0,1103,18,908
4669,1981,Ensino Médio,Casado,24480,1,0,2021-02-11,0,1197,7,102
10144,1976,Ensino Superior,União estável,51369,0,1,2020-10-25,0,1180,12,576
8652,1946,Ensino Superior,União estável,37760,0,0,2020-08-31,0,1361,10,317
1672,1974,Pós-graduação,União estável,65640,0,1,2022-03-01,0,1029,13,461
8962,1975,Pós-graduação,Casado,44319,1,1,2022-04-17,0,1105,5,37
9974,1974,Ensino Superior,Casado,30631,1,0,2021-07-12,0,1232,5,70
10983,1952,Ensino Superior,União estável,75278,0,0,2021-01-29,0,1155,19,930
8148,1956,Pós-graduação,União estável,50898,1,1,2021-01-08,0,1138,18,859
10102,1966,Ensino Superior,Viúva/Viúvo,79946,0,0,2022-05-12,0,1020,10,1478
4697,1949,Pós-graduação,Divorciado,35416,0,0,2021-06-13,0,1115,12,390
9262,1984,Ensino Médio,União estável,32414,0,0,2021-07-04,0,1473,4,52
7254,1969,Ensino Superior,União estável,38361,1,0,2021-12-27,0,1098,6,137
4543,1980,Ensino Superior,Casado,82497,0,0,2020-10-31,0,1089,11,1919
4927,1971,Ensino Superior,União estável,16626,2,0,2022-01-15,0,1020,6,68
10451,1965,Ensino Superior,União estável,29672,1,1,2021-03-12,0,1408,3,25
2926,1952,Pós-graduação,União estável,55951,0,1,2020-08-23,0,1056,14,1374
2874,1988,Ensino Médio,Divorciado,35388,1,0,2021-03-07,0,1618,4,32
9738,1986,Pós-graduação,União estável,42386,1,0,2021-01-13,0,1305,6,100
7119,1982,Ensino Superior,Solteiro,68627,0,0,2021-01-12,0,1342,8,825
3924,1965,Pós-graduação,Divorciado,57912,0,1,2022-03-17,0,1036,20,916
5827,1958,Ensino Superior,Divorciado,35246,1,1,2022-04-16,0,1074,6,62
5596,1956,Ensino Médio,União estável,58821,0,1,2021-10-12,0,1046,18,728
10812,1978,Pós-graduação,Casado,46377,1,0,2022-03-01,0,1151,5,90
1717,1988,Ensino Superior,Solteiro,39747,1,0,2022-04-13,0,1068,9,273
9491,1984,Ensino Superior,União estável,23976,1,0,2021-12-27,0,1128,6,66
9274,1961,Pós-graduação,Casado,80950,0,0,2021-03-28,0,1142,15,1213
6609,1966,Ensino Superior,Viúva/Viúvo,27038,0,0,2020-09-18,1,1214,6,107
6963,1947,Ensino Superior,Solteiro,77457,0,0,2022-03-05,0,1029,12,1157
4440,1964,Pós-graduação,Casado,64100,0,1,2021-09-10,0,1217,14,546
1379,1992,Pós-graduação,União estável,42670,0,0,2021-04-27,0,1143,8,241
10032,1976,Ensino Superior,Divorciado,12571,1,0,2022-01-18,0,1033,6,53
2826,1967,Ensino Superior,Casado,22574,2,1,2021-10-28,0,1318,5,37
2437,1989,Ensino Superior,Casado,,0,0,2021-06-03,0,1327,18,1611
6320,1976,Pós-graduação,Solteiro,70893,0,0,2021-02-06,0,1112,16,1508
3050,1966,Ensino Superior,Casado,54198,1,1,2021-12-17,0,1036,9,235
231,1956,Pós-graduação,União estável,28839,1,1,2022-03-11,0,1019,5,32
2392,1972,Ensino Superior,Casado,40321,1,1,2021-07-29,0,1474,6,102
9478,1985,Ensino Superior,Solteiro,66503,1,0,2020-08-14,0,1113,10,401
113,1951,Ensino Superior,Casado,30833,1,1,2021-07-16,0,1220,4,28
2863,1970,Ensino Superior,Solteiro,,1,2,2021-08-23,0,1050,12,1052
1802,1971,Ensino Superior,Casado,64795,0,1,2021-01-17,0,1309,15,680
520,1974,Ensino Superior,Casado,34421,1,0,2021-07-01,0,1389,3,30
8275,1965,Pós-graduação,Divorciado,47025,1,1,2022-02-09,0,1341,3,20
9750,1961,Pós-graduação,Divorciado,64325,0,1,2021-02-07,0,1075,15,1307
2607,1953,Ensino Superior,Solteiro,40464,0,1,2021-01-11,0,1169,16,630
7214,1957,Ensino Superior,Casado,62187,0,0,2021-07-05,0,1110,9,1283
5835,1976,Pós-graduação,Divorciado,14849,1,0,2021-07-02,0,1440,6,65
3896,1984,Ensino Superior,Casado,27255,1,0,2021-11-07,0,1093,4,37
10350,1950,Pós-graduação,Casado,54432,2,1,2021-05-09,0,1425,4,38
